in.store,age,items,amount,region,,,,
1,58,8,173.65,1,,,,
0,40,8,795.18,1,,,,
1,32,8,580.2,1,,,,
1,42,8,1343.6,1,,,,
1,41,8,817.65,1,,,,
0,19,8,1163.8,1,,,,
0,39,8,182.61,2,,,,
1,29,8,728.85,4,,,,
0,47,8,952.42,4,,,,
1,33,8,748.29,4,,,,
1,35,8,481.67,3,,,,
1,19,8,1423.4,4,,,,
1,61,8,724.35,3,,,,
0,22,8,496.96,4,,,,
0,41,8,679.56,3,,,,
0,43,8,99.78,2,,,,
0,56,8,64.25,2,,,,
1,51,8,886.59,4,,,,
1,42,8,283.29,4,,,,
0,44,8,128.99,2,,,,
1,21,8,1327.4,1,,,,
0,40,8,189.95,4,,,,
0,28,8,2712.8,4,,,,
1,50,8,820.96,1,,,,
1,70,8,260.3,1,,,,
0,53,8,21.26,2,,,,
1,26,8,414.09,4,,,,
1,41,8,451.59,4,,,,
0,57,8,496.77,4,,,,
1,34,8,400.43,4,,,,
0,29,8,994.08,1,,,,
1,55,8,716.34,3,,,,
1,42,8,1447.9,1,,,,
0,41,8,158.28,2,,,,
0,53,8,1810.7,4,,,,
1,46,8,1701.5,4,,,,
1,40,8,407.9,4,,,,
1,69,8,853.6,3,,,,
0,46,8,2836.4,4,,,,
1,69,8,965.57,3,,,,
1,34,8,891.14,1,,,,
1,67,8,943.49,3,,,,
0,55,8,179.64,4,,,,
1,51,8,1670.3,4,,,,
1,32,8,65.29,4,,,,
1,59,8,315.48,1,,,,
0,47,8,226.62,2,,,,
0,57,8,462.21,2,,,,
1,67,8,730.65,3,,,,
1,47,8,1327.9,4,,,,
0,40,8,9.6,2,,,,
1,34,8,828.51,1,,,,
1,30,8,1665.1,4,,,,
0,43,8,650.78,4,,,,
0,36,8,1189.8,3,,,,
0,53,8,334.17,2,,,,
1,24,8,333.82,4,,,,
1,24,8,1706.2,1,,,,
1,47,8,321.09,3,,,,
1,30,8,509.25,3,,,,
1,62,8,892.98,3,,,,
1,27,8,939.82,4,,,,
1,43,8,333.98,4,,,,
0,62,8,175.54,2,,,,
0,43,8,411.98,2,,,,
1,39,8,226.3,1,,,,
0,46,8,1971.9,4,,,,
0,70,8,21.66,2,,,,
1,57,8,94.37,1,,,,
0,26,8,1605.6,4,,,,
0,43,8,1438.5,4,,,,
0,62,8,235.97,2,,,,
1,33,8,1182.5,4,,,,
1,28,8,783.84,4,,,,
0,22,8,2660.2,3,,,,
0,40,8,312.23,4,,,,
0,58,8,2586.8,4,,,,
1,31,8,693.82,1,,,,
0,45,8,633.74,4,,,,
1,33,8,1478.4,4,,,,
1,41,8,57.33,1,,,,
0,77,8,235.2,2,,,,
0,27,8,2718.1,3,,,,
1,37,8,808.75,3,,,,
0,51,8,1363.8,4,,,,
0,60,8,1396.9,4,,,,
0,44,8,2318.7,4,,,,
1,29,8,381.64,3,,,,
0,63,8,224.31,2,,,,
0,37,8,2626.9,4,,,,
0,34,8,272.95,2,,,,
0,73,8,492.81,1,,,,
0,57,8,259.92,2,,,,
0,59,8,1390,3,,,,
1,44,8,730.85,1,,,,
0,49,8,332.1,2,,,,
0,54,8,405.74,2,,,,
0,72,8,432.54,2,,,,
0,57,8,568.47,4,,,,
0,57,8,708.22,4,,,,
1,46,8,1258.6,4,,,,
1,69,8,555.94,1,,,,
0,32,8,20.43,2,,,,
1,25,8,1674.1,4,,,,
0,56,8,104.56,1,,,,
0,57,8,1508.6,4,,,,
1,38,8,1800.3,4,,,,
0,34,8,483.7,2,,,,
1,24,8,176.31,4,,,,
0,38,8,1894.4,4,,,,
1,30,8,983.83,3,,,,
1,51,8,928.45,4,,,,
0,24,8,2511.5,4,,,,
1,55,8,202.61,1,,,,
1,31,8,1528.1,4,,,,
1,55,8,942.03,3,,,,
1,71,8,404.78,3,,,,
0,61,8,1282.3,4,,,,
1,52,8,851.06,4,,,,
1,69,8,252.3,1,,,,
1,67,8,704.08,3,,,,
1,34,8,1890.5,4,,,,
1,73,8,487.76,3,,,,
0,37,8,2612,4,,,,
0,59,8,2070.7,4,,,,
0,45,8,105.69,2,,,,
1,29,8,1967.3,1,,,,
1,32,8,256.82,3,,,,
1,28,8,281.96,1,,,,
0,78,8,491.27,2,,,,
1,23,8,154.43,4,,,,
1,48,8,160.67,4,,,,
0,34,8,1270.3,4,,,,
0,60,8,32.41,2,,,,
1,33,8,227,3,,,,
1,33,8,216.31,1,,,,
0,53,8,237.2,2,,,,
0,60,8,2380.1,4,,,,
0,25,8,2451.2,4,,,,
0,33,8,824.34,4,,,,
1,73,8,775.97,1,,,,
1,53,8,456.37,3,,,,
0,69,8,340.68,2,,,,
0,62,8,388.79,2,,,,
1,30,8,1623.6,1,,,,
0,77,8,99.17,2,,,,
0,26,8,2410.7,4,,,,
0,50,8,205.2,1,,,,
0,35,8,927.07,1,,,,
0,44,8,816.71,1,,,,
0,41,8,17.63,2,,,,
0,61,8,516.54,4,,,,
1,29,8,98.33,1,,,,
1,74,8,807.91,1,,,,
1,33,8,841.27,1,,,,
1,50,8,133.95,4,,,,
1,63,8,940.89,3,,,,
0,76,8,213.4,2,,,,
1,20,8,1388.8,4,,,,
0,56,8,613.87,1,,,,
0,33,8,296.26,2,,,,
0,62,8,469.86,2,,,,
0,52,8,991.15,4,,,,
0,32,8,281.36,2,,,,
1,47,8,694.76,1,,,,
1,20,8,1162.1,4,,,,
1,54,8,719.26,3,,,,
1,21,8,1405,4,,,,
0,47,8,254.59,2,,,,
1,50,8,1184.9,4,,,,
1,29,8,998.88,4,,,,
1,50,8,1663.9,4,,,,
1,57,8,256.93,3,,,,
0,56,8,397.26,4,,,,
1,20,8,219.8,1,,,,
1,48,8,1795.1,4,,,,
1,40,8,797.99,3,,,,
0,55,8,187.26,2,,,,
0,73,8,209.71,2,,,,
1,25,8,459.88,3,,,,
0,45,8,2971.6,3,,,,
1,63,8,845.33,1,,,,
0,35,8,110.16,1,,,,
0,33,8,14.77,2,,,,
1,48,8,560.36,4,,,,
0,28,8,885.92,1,,,,
1,45,8,1648.2,4,,,,
1,25,8,492.31,1,,,,
0,71,8,65.45,2,,,,
0,37,8,1677.5,4,,,,
1,52,8,1573.9,4,,,,
1,51,8,250.21,4,,,,
1,28,8,635.51,4,,,,
0,58,8,2353.3,3,,,,
0,35,8,478.53,4,,,,
0,47,8,2734.4,3,,,,
0,43,8,150.11,2,,,,
1,47,8,1821.6,4,,,,
1,38,8,310.45,1,,,,
1,51,8,571.34,4,,,,
0,51,8,1682.9,4,,,,
1,37,8,681.68,1,,,,
0,75,8,225.97,2,,,,
1,46,8,874.9,1,,,,
0,57,8,1851.8,3,,,,
1,26,8,255.11,1,,,,
0,32,8,63.57,2,,,,
0,50,8,332.36,2,,,,
0,42,8,672.91,3,,,,
1,51,8,637.1,3,,,,
1,68,8,552.3,1,,,,
1,46,8,1317.2,4,,,,
0,30,8,792.15,3,,,,
1,54,8,432.33,4,,,,
0,72,8,451.34,2,,,,
0,32,8,1110.9,4,,,,
1,51,8,1537.4,4,,,,
1,38,8,1083.1,4,,,,
1,28,8,836.8,1,,,,
0,41,8,472.66,2,,,,
1,44,8,524,1,,,,
1,26,8,862.74,1,,,,
1,36,8,164.62,3,,,,
1,63,8,493.57,1,,,,
0,59,8,182.89,2,,,,
1,54,8,1813.1,1,,,,
0,82,8,377.09,2,,,,
0,25,8,1410.4,1,,,,
0,48,8,2386.9,4,,,,
1,31,8,103.24,1,,,,
0,85,8,24.23,2,,,,
1,50,8,1034.9,4,,,,
0,53,8,455.21,2,,,,
0,62,8,164.79,1,,,,
0,25,8,517.05,1,,,,
0,53,8,1578.1,4,,,,
0,58,8,300.8,2,,,,
0,43,8,2557.4,4,,,,
0,38,8,2115.3,4,,,,
0,73,8,239.49,2,,,,
1,49,8,757.49,4,,,,
0,37,8,392.65,2,,,,
1,46,8,1918.9,4,,,,
0,28,8,2931.7,4,,,,
0,83,8,474.47,2,,,,
0,25,8,2759.7,3,,,,
0,39,8,780.81,4,,,,
0,48,8,440.69,2,,,,
1,29,8,273.46,1,,,,
1,43,8,106.34,1,,,,
1,40,8,230.61,1,,,,
1,56,8,334.58,3,,,,
1,73,8,624.5,3,,,,
0,42,8,131.32,2,,,,
1,49,8,769.52,4,,,,
1,47,8,736.45,3,,,,
0,60,8,1836.9,3,,,,
1,40,8,223.12,3,,,,
1,46,8,1778.2,4,,,,
1,46,8,1961.6,4,,,,
1,68,8,981.13,3,,,,
1,41,8,1043,4,,,,
0,53,8,169.2,3,,,,
1,53,8,268.98,4,,,,
1,36,8,387.03,3,,,,
0,26,8,2124.8,3,,,,
0,57,8,1490.5,4,,,,
0,51,8,1941,4,,,,
0,76,8,250.39,2,,,,
0,69,8,201.21,2,,,,
0,44,8,13.09,2,,,,
0,71,8,138,2,,,,
0,22,8,524.68,3,,,,
1,26,8,894.57,3,,,,
0,40,8,2921.8,3,,,,
0,25,8,913.88,1,,,,
0,53,8,847.97,1,,,,
0,43,8,877.16,1,,,,
0,51,8,40.15,2,,,,
0,43,8,280.51,2,,,,
0,19,8,394.7,4,,,,
0,39,8,531.4,1,,,,
0,29,8,357.48,2,,,,
0,49,8,1461.3,3,,,,
1,34,8,114.97,3,,,,
0,27,8,460.37,4,,,,
1,59,8,252.34,1,,,,
1,67,8,56.46,1,,,,
0,43,8,299.96,2,,,,
1,38,8,470.15,3,,,,
0,56,8,94.05,2,,,,
1,63,8,278.56,1,,,,
1,38,8,204.67,3,,,,
0,58,8,2216.5,4,,,,
0,35,8,447.84,2,,,,
0,78,8,152.75,2,,,,
0,83,8,142.38,2,,,,
1,54,8,926.17,4,,,,
0,58,8,821.61,4,,,,
1,66,8,803.94,3,,,,
1,35,8,120.73,3,,,,
0,36,8,2175.5,4,,,,
1,48,8,273.88,4,,,,
0,46,8,2063.5,3,,,,
1,20,8,1923.7,1,,,,
0,70,8,212.76,2,,,,
0,28,8,2832.1,4,,,,
1,25,8,1535.6,4,,,,
1,73,8,637.18,3,,,,
1,51,8,952.86,4,,,,
0,27,8,893.75,1,,,,
0,54,8,396.42,2,,,,
1,63,8,930.7,3,,,,
0,45,8,2091.2,4,,,,
1,59,8,439.53,3,,,,
0,50,8,2751.2,4,,,,
0,49,8,414.61,2,,,,
1,56,8,325.52,3,,,,
0,22,8,1005.6,3,,,,
0,54,8,364.66,2,,,,
1,40,8,549.01,4,,,,
0,60,8,472.89,3,,,,
1,63,8,830.2,3,,,,
1,36,8,424.42,4,,,,
1,36,8,271.93,1,,,,
1,28,8,680.36,4,,,,
0,42,8,414.48,2,,,,
0,19,8,2260.4,3,,,,
1,43,8,1339.4,1,,,,
0,49,8,406.95,2,,,,
1,54,8,1316,4,,,,
1,21,8,1291.9,4,,,,
0,74,8,487.53,2,,,,
0,38,8,1805.1,3,,,,
1,37,8,929.15,3,,,,
1,44,8,1504.5,4,,,,
1,60,8,427.72,3,,,,
1,36,8,1823.7,1,,,,
0,43,8,394.65,2,,,,
0,65,8,40.71,2,,,,
1,41,8,623.08,3,,,,
0,36,8,777.24,4,,,,
0,39,8,1906.8,4,,,,
1,53,8,1564.3,1,,,,
0,83,8,351.27,2,,,,
1,32,8,866.62,4,,,,
1,73,8,176.87,3,,,,
1,38,8,986.41,1,,,,
0,20,8,2651.4,3,,,,
1,70,8,92.95,3,,,,
1,22,8,563.26,1,,,,
1,42,8,623.7,1,,,,
1,32,8,775.62,1,,,,
0,25,8,1799.5,4,,,,
1,62,8,917.04,1,,,,
0,29,8,2795.5,4,,,,
0,43,8,1993.8,4,,,,
0,66,8,153.64,2,,,,
0,70,8,442.5,2,,,,
0,36,8,2697.7,3,,,,
0,57,8,181.51,2,,,,
0,47,8,267.88,2,,,,
1,34,8,1338.5,4,,,,
1,22,8,700.19,1,,,,
1,55,8,231.4,3,,,,
1,73,8,374.72,1,,,,
0,76,8,319.3,2,,,,
1,47,8,1870.6,1,,,,
1,73,8,424.96,1,,,,
1,22,8,1464,4,,,,
0,46,8,1211,4,,,,
1,41,8,368.03,3,,,,
1,25,8,371.96,1,,,,
0,54,8,155.99,2,,,,
0,34,8,2707.4,4,,,,
0,54,8,448.36,2,,,,
0,20,8,2163.4,3,,,,
0,61,8,1893,4,,,,
0,43,8,143.3,3,,,,
0,70,8,551.71,1,,,,
1,43,8,369.34,3,,,,
1,24,8,1696.6,4,,,,
1,25,8,1399.2,4,,,,
1,23,8,1531.7,1,,,,
1,36,8,707.21,4,,,,
1,31,8,682.66,4,,,,
0,22,8,1277.9,3,,,,
1,38,8,961.8,4,,,,
1,41,8,1146.1,4,,,,
0,57,8,292.82,2,,,,
1,24,8,956.98,4,,,,
1,39,8,519.79,3,,,,
0,66,8,390.46,2,,,,
1,66,8,233.2,1,,,,
0,51,8,200.7,2,,,,
0,34,8,1810.5,3,,,,
0,41,8,1220.8,3,,,,
0,56,8,2241.6,3,,,,
1,21,8,665.54,4,,,,
1,68,8,688.92,3,,,,
0,84,8,326.41,2,,,,
0,60,8,766.7,4,,,,
1,26,8,767.03,3,,,,
1,62,8,568.34,1,,,,
1,33,8,595.2,4,,,,
1,45,8,1277.6,4,,,,
0,76,8,425.04,2,,,,
1,69,8,866.24,1,,,,
0,52,8,178.01,2,,,,
1,42,8,1625.6,1,,,,
0,47,8,371.56,2,,,,
0,47,8,1764.2,4,,,,
1,65,8,224.21,3,,,,
1,46,8,834.1,4,,,,
1,26,8,365.65,1,,,,
0,37,8,443.02,4,,,,
0,24,8,601.77,4,,,,
0,36,8,1219.9,4,,,,
1,37,8,987.38,3,,,,
0,67,8,129.37,2,,,,
0,23,8,159.05,4,,,,
1,47,8,790.42,4,,,,
1,48,8,223.55,3,,,,
0,44,8,1843.4,4,,,,
1,55,8,855.52,4,,,,
1,27,8,1496.8,1,,,,
1,25,8,658.22,3,,,,
1,27,8,600.92,1,,,,
1,53,8,765.94,4,,,,
0,63,8,377.57,2,,,,
0,31,8,235.7,2,,,,
0,28,8,2553.1,4,,,,
0,28,8,1375.5,4,,,,
1,49,8,1453,1,,,,
1,66,8,756.35,3,,,,
0,63,8,157.96,2,,,,
0,61,8,328.26,2,,,,
1,59,8,900.66,1,,,,
1,44,8,212.27,4,,,,
0,64,8,115.39,2,,,,
0,20,8,1616.5,3,,,,
1,52,8,1046.8,1,,,,
1,62,8,992.61,1,,,,
1,53,8,1107.6,4,,,,
1,53,8,673.35,1,,,,
0,71,8,497.8,2,,,,
1,50,8,839.55,3,,,,
0,69,8,383.31,2,,,,
0,25,8,1672.7,4,,,,
0,33,8,2712.8,4,,,,
1,55,8,172.62,4,,,,
0,63,8,365.26,1,,,,
1,55,8,1732.4,1,,,,
1,22,8,827.54,1,,,,
1,49,8,722.53,4,,,,
0,77,8,248.51,2,,,,
0,66,8,292.76,2,,,,
0,59,8,388.51,2,,,,
1,31,8,641.81,1,,,,
0,53,8,1328.2,3,,,,
1,24,8,1598.2,4,,,,
0,37,8,128.94,2,,,,
0,61,8,339.56,2,,,,
0,73,8,255.62,1,,,,
0,30,8,22.12,2,,,,
0,50,8,414.21,2,,,,
1,29,8,769.43,1,,,,
0,28,8,1008.7,4,,,,
1,28,8,1460.8,4,,,,
1,66,8,290.76,1,,,,
0,82,8,380.26,2,,,,
0,27,8,1489.5,4,,,,
1,20,8,1803,4,,,,
0,42,8,245.44,4,,,,
0,57,8,2436.7,4,,,,
0,46,8,1090.2,4,,,,
1,23,8,684.14,1,,,,
0,34,8,497.47,2,,,,
0,31,8,193.06,2,,,,
1,55,8,495.14,3,,,,
1,55,8,667.15,4,,,,
0,48,8,681.59,1,,,,
1,62,8,486.13,1,,,,
0,49,8,417.42,2,,,,
0,57,8,502.45,4,,,,
1,63,8,93.92,1,,,,
0,47,8,2995.1,4,,,,
1,25,8,1448,4,,,,
1,37,8,53.88,1,,,,
1,51,8,1179.2,1,,,,
1,33,8,492.75,1,,,,
0,19,8,857.13,4,,,,
1,74,8,923.9,1,,,,
0,58,8,212.28,2,,,,
0,43,8,838.96,3,,,,
1,29,8,610.04,1,,,,
0,42,8,1440.6,3,,,,
0,49,8,1080.6,4,,,,
1,37,8,95.39,1,,,,
0,29,8,1875.2,3,,,,
1,44,8,401.02,4,,,,
1,55,8,501.82,3,,,,
0,39,8,1762.5,3,,,,
1,63,8,457.98,3,,,,
0,33,8,418.03,1,,,,
1,27,8,1536.2,4,,,,
0,29,8,733.22,1,,,,
1,43,8,1321.7,4,,,,
0,31,8,2665.2,4,,,,
1,48,8,558.19,3,,,,
0,65,8,464,2,,,,
1,52,8,1995.4,4,,,,
1,34,8,75.87,4,,,,
1,39,8,1545.3,1,,,,
0,53,8,476.11,1,,,,
1,37,8,624.11,4,,,,
0,25,8,2887.9,3,,,,
0,33,8,2206.4,3,,,,
1,22,8,263.03,4,,,,
1,61,8,896.43,3,,,,
0,55,8,383.44,2,,,,
0,21,8,496.09,3,,,,
1,56,8,162.35,3,,,,
0,48,8,148.09,2,,,,
0,71,8,332.56,2,,,,
0,71,8,480.46,2,,,,
1,23,8,425.98,4,,,,
0,31,8,188.75,4,,,,
0,40,8,1732.8,4,,,,
0,73,8,275.75,2,,,,
1,62,8,249.24,3,,,,
0,60,8,1019.3,4,,,,
1,49,8,477.83,3,,,,
0,84,8,351.17,2,,,,
1,46,8,1450.6,1,,,,
1,47,8,735.95,1,,,,
1,42,8,851.35,3,,,,
0,42,8,2977.7,4,,,,
1,23,8,1281.1,4,,,,
1,35,8,608.35,3,,,,
0,61,8,290.35,2,,,,
0,21,8,566.79,4,,,,
1,48,8,625.72,4,,,,
1,38,8,1410.8,1,,,,
0,71,8,406.22,2,,,,
0,25,8,930.11,3,,,,
1,31,8,908,1,,,,
0,82,8,335.33,2,,,,
0,32,8,213.22,2,,,,
0,49,8,893.75,4,,,,
1,48,8,389.71,1,,,,
1,34,8,1411.3,4,,,,
0,29,8,285.43,2,,,,
0,57,8,1292.1,4,,,,
0,55,8,199.26,2,,,,
0,75,8,83.18,2,,,,
0,81,8,444.09,2,,,,
0,20,8,815.15,4,,,,
1,46,8,579.07,1,,,,
1,42,8,853.3,4,,,,
0,26,8,2399.8,4,,,,
1,48,8,862.25,1,,,,
0,44,8,60.29,2,,,,
1,52,8,1994,4,,,,
0,64,8,451.62,2,,,,
1,51,8,1650.6,4,,,,
0,57,8,2916.5,3,,,,
0,81,8,50.95,2,,,,
1,51,8,994.2,4,,,,
1,50,8,177.9,4,,,,
0,58,8,2629.5,4,,,,
1,47,8,1890.3,4,,,,
0,50,8,1097.7,4,,,,
0,29,8,8.92,2,,,,
1,27,8,378.63,1,,,,
0,24,8,936.8,4,,,,
0,19,8,1714.3,3,,,,
1,34,8,130.98,3,,,,
0,41,8,80.07,1,,,,
0,70,8,499.65,2,,,,
1,27,8,1578.9,4,,,,
1,28,8,346.6,1,,,,
1,29,8,1102,4,,,,
0,53,8,245.39,2,,,,
0,42,8,194.31,3,,,,
1,39,8,162.26,3,,,,
0,49,8,207.88,4,,,,
1,40,8,994.47,4,,,,
1,31,8,102.51,1,,,,
1,47,8,341.71,3,,,,
0,70,8,251.68,2,,,,
1,61,8,419.21,3,,,,
1,19,8,384.05,4,,,,
1,23,8,844.5,4,,,,
1,46,8,1056.6,1,,,,
0,27,8,2285.8,3,,,,
1,40,8,884.71,3,,,,
1,47,8,199.76,1,,,,
0,65,8,94.08,2,,,,
0,63,8,170.69,2,,,,
0,47,8,2810.9,3,,,,
0,81,8,97.42,2,,,,
1,43,8,809.38,4,,,,
0,41,8,484.57,2,,,,
0,32,8,634.49,3,,,,
1,29,8,132.19,1,,,,
0,51,8,436.36,4,,,,
0,20,8,1504.8,4,,,,
0,58,8,2785.8,4,,,,
0,26,8,544.71,4,,,,
1,29,8,846.43,3,,,,
0,53,8,274.75,2,,,,
1,40,8,1326.7,1,,,,
1,53,8,969.18,3,,,,
1,56,8,963.67,3,,,,
0,34,8,90.83,2,,,,
1,25,8,501.39,4,,,,
0,33,8,115,2,,,,
0,61,8,66.77,2,,,,
1,29,8,850.97,4,,,,
0,20,8,1048.7,4,,,,
0,47,8,2872.1,3,,,,
0,59,8,2462.3,3,,,,
0,63,8,278.84,2,,,,
1,55,8,284.15,3,,,,
0,43,8,472.69,2,,,,
1,67,8,908.66,1,,,,
0,53,8,1858.2,4,,,,
1,62,8,518.02,1,,,,
0,29,8,1145.1,1,,,,
0,47,8,234.36,1,,,,
0,54,8,229.83,2,,,,
0,60,8,1114.6,4,,,,
1,36,8,298.82,4,,,,
0,27,8,2623.5,4,,,,
